video_url,user_url,username,title,view_num,created_at,shortdesc,collected_at
/watch?v=NRWUoDpo2fo&list=RDNRWUoDpo2fo&start_radio=1&pp=ygUHbGVmdGlzdKAHAQ%3D%3D,/channel/UCAMWWQQNQeD73DtiddfBrpg,alt-J,alt-J - Left Hand Free (Official Video),87M,11 years,SUBSCRIBE for more official content from alt-J: https://alt-j.lnk.to/SubscribeID --------------- ▻ LISTEN to alt-J ...,2026-01-20 20:37:22.528413
/watch?v=wXgI_jkzG_A&pp=ygUHbGVmdGlzdA%3D%3D,/@jamesklug,James Klug,Leftist Threatens Me With A Lawsuit After Interview Goes SOUTH,1M,3 months,"FULL conversation from my recent video ""How Do People Think President Trump Is Doing So Far?",2026-01-20 20:37:22.530344
/watch?v=uzR5jM9UeJA&list=RDuzR5jM9UeJA&start_radio=1&pp=ygUHbGVmdGlzdKAHAQ%3D%3D,/channel/UCr4T3zE6wmd39NCe_LFpqDw,Anastacia,Anastacia - Left Outside Alone (Official Music Video),145M,16 years,"Official video for ""Left Outside Alone"" by Anastacia Listen to Anastasia: https://Anastacia.lnk.to/listenID Subscribe to the official ...",2026-01-20 20:37:22.531775
/watch?v=Wzb4P23DB8Y&pp=ygUHbGVmdGlzdA%3D%3D,/@jubilee,Jubilee,"Left vs Right: ICE raids, Elon Musk, and Cancel Culture",604K,2 months,Hey you Wanna be in a Jubilee video? https://bit.ly/be-in-a-video LET'S BE FRIENDS Instagram: ...,2026-01-20 20:37:22.533726
/watch?v=pacowLSo5KE&pp=ygUHbGVmdGlzdA%3D%3D,/@Brad_Polumbo,Brad Polumbo,EVIL left-wing TikTok stars CHEER Charlie Kirk murder (new low!),62K,4 months,Call American Financing today to find out how customers are saving an avg of $800/mo. 866-891-4811 or visit http://www.,2026-01-20 20:37:22.535454
/watch?v=PFcFgh2eFFE&pp=ygUHbGVmdGlzdA%3D%3D,/@EnglishDramas-u2y,English  Dramas,💥【Cry For Me When I Left 】 Full Movie 2026 Full Episode | English Sub,23K,7 days,"""▶️Catch the hottest drama finales before anyone else↓↓↓ https://netshort.com/base/n/zB0KxyG 【Cry For Me When I Left 】 ...",2026-01-20 20:37:22.536677
/watch?v=8yk6QGvaDCw&pp=ygUHbGVmdGlzdA%3D%3D,/@LiberalHivemind,Liberal Hivemind,RABID Leftist are getting FIRED across the COUNTRY!!!,331K,4 months,MERCH: https://teespring.com/stores/liberalhivemind https://www.subscribestar.com/liberalhivemind ...,2026-01-20 20:37:22.537935
/watch?v=dy3f4FFwgPU&pp=ygUHbGVmdGlzdA%3D%3D,/@SkyNewsAustralia,Sky News Australia,Lefties Losing It: The left is celebrating Charlie Kirk’s murder,2.8M,4 months,Sky News host Rita Panahi has blasted the left for celebrating the assassination of Charlie Kirk.,2026-01-20 20:37:22.539153
/watch?v=U8xXOwcW7O4&pp=ygUHbGVmdGlzdA%3D%3D,/@BrutAmerica,Brut America,Inside a Leftist Gun Group,280K,3 years,"Some call them radical, they say they're “the future” of gun culture. For Brut, filmmaker Jessey Dearing met “Arm Your Friends,” a ...",2026-01-20 20:37:22.540321
/shorts/sdlcqSo_rM0,/@maiabemtbc,maiabemtbc,Problems With Liberal/Leftist Spaces | The Overemphasis on Language/Discourse,24K,2 years,leftist #leftists #liberal #liberalism #discourse #language.,2026-01-20 20:37:22.541555
/watch?v=JrnOxlUiPDM&pp=ygUHbGVmdGlzdA%3D%3D,/@MichaelOBurns,Michael Burns,the REAL problem with the left,123K,5 months,"Frederic Jameson reading group on Patreon: https://www.patreon.com/MichaelBurns420 In both ""real life"" and online circles, there ...",2026-01-20 20:37:22.543258
/watch?v=899a8WlVpNk&list=RD899a8WlVpNk&start_radio=1&pp=ygUHbGVmdGlzdKAHAQ%3D%3D,/channel/UCKZV-Pl2JrdFlj0DFXqeLQA,Nick Lachey,Nick Lachey - What's Left Of Me (Official Video),18M,16 years,Nick Lachey's official music video for 'What's Left Of Me'. Click to listen to Nick Lachey on Spotify: ...,2026-01-20 20:37:22.544750
/watch?v=wpqm-05R2Jk&list=RDwpqm-05R2Jk&start_radio=1&pp=ygUHbGVmdGlzdKAHAQ%3D%3D,/channel/UCxKS_QjhJAfV2hgLYxxGkWA,The Avalanches,The Avalanches - Since I Left You,17M,16 years,The 20th Anniversary Deluxe Edition of 'Since I Left You' by The Avalanches is now available to buy & stream everywhere: ...,2026-01-20 20:37:22.546149
/watch?v=0ofKT9TGMPs&list=RD0ofKT9TGMPs&start_radio=1&pp=ygUHbGVmdGlzdKAHAQ%3D%3D,/channel/UCOlxqtcKc-HBEQJgDsylyhA,Lil Tecca,Lil Tecca - NEVER LEFT (Official Video),23M,4 years,https://liltecca.lnk.to/WLYT2 Text me: +1 (310) 928-9269 Connect with Lil Tecca: https://tecca.co Instagram: ...,2026-01-20 20:37:22.548216
/watch?v=7UrknYa7Dwc&list=RD7UrknYa7Dwc&start_radio=1&pp=ygUHbGVmdGlzdKAHAdIHCQlPCgGHKiGM7w%3D%3D,/@dbillions,D Billions,Left! Right! | D Billions Kids Songs,94M,6 years,Lyrics: Body to the left! Body to the right! Move your body up! Move your body down! Hands to the left! Hands to the right!,2026-01-20 20:37:22.549499
